Stations,Bow Rabbet,1,2,3,4,5,6,8,10,12,14,15,16,17,18,19,20,Post
Positions,0-0-0,1-4-1,2-8-2,4-0-3,5-4-5,6-8-5,8-0-6,10-9-0,13-5-2,16-1-4,18-9-6,20-1-7,21-6-0,22-10-1,24-2-2,25-6-3,26-10-4,28-2-5
HEIGHT,,,,,,,,,,,,,,,,,,
Sheer,5-3-2,5-0-3,4-10-5,4-9-4,4-8-0,4-6-6,4-5-6,4-4-4,4-4-2,4-4-5,4-6-1,4-7-2,4-8-6,4-10-6,5-1-0,5-3-6,5-6-6,5-11-7
Wale,4-10-6,4-7-7,4-6-0,4-4-4,4-2-5,4-1-3,4-0-3,3-10-7,3-10-4,3-11-0,4-0-6,4-2-1,4-4-0,4-6-0,4-8-3,4-11-3,5-2-3,5-7-2
0-36-0,x,x,x,x,3-8-2,2-9-5,2-2-5,1-8-2,1-6-4,1-9-2,2-4-0,2-8-5,3-3-2,4-2-3,x,x,x,x
0-27-0,x,x,4-9-2,3-5-0,2-5-3,1-10-6,1-6-0,1-1-7,1-1-2,1-3-0,1-9-0,2-1-1,2-6-1,3-0-0,3-10-1,x,x,x
0-18-0,x,4-10-4,3-4-0,2-2-1,1-6-2,1-1-7,0-11-1,0-8-7,0-8-6,0-10-0,1-1-6,1-5-2,1-9-1,2-2-5,2-10-1,3-9-6,x,x
0-9-0,x,3-3-6,1-10-7,1-1-2,0-8-5,0-6-3,0-5-2,0-4-1,0-4-1,0-4-5,0-6-5,0-8-5,0-11-0,1-2-6,1-8-6,2-6-4,3-11-1,x
0-0-6,x,1-3-3,0-3-1,0-0-4,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-3,0-4-0,2-0-2,x
BREADTH,,,,,,,,,,,,,,,,,,
Sheer,0-0-6,1-6-7,2-3-7,2-11-4,3-5-7,3-10-6,4-2-3,4-5-1,4-8-4,4-7-2,4-3-4,4-0-2,3-8-1,3-3-0,2-8-7,2-1-3,1-4-6,0-0-6
0-54-0,0-0-6,1-3-5,2-1-1,2-9-4,3-4-5,3-10-3,x,x,x,x,4-3-2,4-0-0,3-7-3,3-1-4,2-6-5,1-9-7,1-0-1,0-0-6
0-45-0,0-0-6,0-11-3,1-8-5,2-5-2,3-0-3,3-6-3,3-11-3,4-4-7,4-6-5,4-5-3,4-0-6,3-9-2,3-4-1,2-9-5,2-2-5,1-5-6,0-8-0,0-0-6
0-36-0,0-0-6,0-7-4,1-3-7,2-0-2,2-7-2,3-1-3,3-6-7,4-1-4,4-3-3,4-2-0,3-8-2,3-3-4,2-9-3,2-3-0,1-7-5,1-0-0,0-4-0,0-0-6
0-27-0,0-0-6,0-4-1,0-10-0,1-6-2,2-1-1,2-6-6,3-0-2,3-7-0,3-9-4,3-6-7,2-10-6,2-5-2,1-11-6,1-6-2,1-0-6,0-7-0,0-1-3,0-0-6
0-18-0,0-0-6,0-1-3,0-6-6,1-0-2,1-5-7,1-10-2,2-3-0,2-8-7,2-10-6,2-7-5,1-11-4,1-6-7,1-3-1,0-11-1,0-7-3,0-3-3,x,0-0-6
0-9-0,0-0-6,x,0-2-6,0-6-0,0-9-2,1-0-0,1-2-4,1-5-6,1-6-2,1-3-5,0-11-5,0-9-1,0-7-0,0-5-2,0-3-2,0-1-0,x,0-0-6
DIAGONAL,,,,,,,,,,,,,,,,,,